NAME,EMAIL,PHONE
H. David Politzer,H.DavidPolitzer@google.com,(520) 544-6840
Frank Wilczek,FrankWilczek@google.com,(360) 274-5495
Richard Axel,RichardAxel@google.com,(696) 577-7219
Linda B. Buck,LindaB.Buck@google.com,(613) 433-7645
Peter Agre,PeterAgre@google.com,(823) 960-9158
Roderick MacKinnon,RoderickMacKinnon@google.com,(246) 787-2227
Robert F. Engle,RobertF.Engle@google.com,(739) 561-8471
Anthony J. Leggett,AnthonyJ.Leggett@google.com,(453) 521-2457
Paul C. Lauterbur,PaulC.Lauterbur@google.com,(647) 345-7594
Alexei Alexeyevich Abrikosov,AlexeiAlexeyevichAbrikosov@google.com,(909) 570-6926
Daniel Kahneman*,DanielKahneman*@google.com,(366) 901-7775
Vernon L. Smith,VernonL.Smith@google.com,(475) 985-5839
Jimmy Carter,JimmyCarter@google.com,(698) 901-2059
John Bennett Fenn,JohnBennettFenn@google.com,(393) 237-5965
Raymond Davis Jr.,RaymondDavisJr.@google.com,(958) 948-0860
Riccardo Giacconi,RiccardoGiacconi@google.com,(573) 467-3420
Sydney Brenner,SydneyBrenner@google.com,(952) 621-1374
H. Robert Horvitz,H.RobertHorvitz@google.com,(560) 351-1754
William S. Knowles,WilliamS.Knowles@google.com,(614) 568-5237
K. Barry Sharpless,K.BarrySharpless@google.com,(511) 997-3680
Joseph E. Stiglitz,JosephE.Stiglitz@google.com,(443) 347-3326
George A. Akerlof,GeorgeA.Akerlof@google.com,(966) 699-3268
A. Michael Spence,A.MichaelSpence@google.com,(986) 775-4783
Eric A. Cornell,EricA.Cornell@google.com,(568) 854-2664
Carl E. Wieman,CarlE.Wieman@google.com,(921) 956-1304
Leland H. Hartwell,LelandH.Hartwell@google.com,(697) 885-5313
Alan Heeger,AlanHeeger@google.com,(326) 516-9306
Alan MacDiarmid,AlanMacDiarmid@google.com,(923) 379-7180
James J. Heckman,JamesJ.Heckman@google.com,(223) 861-8160
Daniel L. McFadden,DanielL.McFadden@google.com,(889) 611-6313
Jack Kilby,JackKilby@google.com,(654) 936-6866
Paul Greengard,PaulGreengard@google.com,(917) 439-5870
Eric Kandel,EricKandel@google.com,(481) 381-4786
Ahmed H. Zewail,AhmedH.Zewail@google.com,(788) 640-5040
Günter Blobel,GünterBlobel@google.com,(458) 741-4012
Walter Kohn,WalterKohn@google.com,(518) 391-1800
Horst Ludwig Störmer,HorstLudwigStörmer@google.com,(368) 285-4573
Robert B. Laughlin,RobertB.Laughlin@google.com,(937) 564-3592
Daniel C. Tsui,DanielC.Tsui@google.com,(743) 369-7665
Robert F. Furchgott,RobertF.Furchgott@google.com,(852) 973-3554
Louis J. Ignarro,LouisJ.Ignarro@google.com,(830) 363-1745
Ferid Murad,FeridMurad@google.com,(436) 217-5886
Paul D. Boyer,PaulD.Boyer@google.com,(838) 608-4269
Robert C. Merton,RobertC.Merton@google.com,(924) 328-7612
Myron Scholes,MyronScholes@google.com,(515) 273-9747
Jody Williams,JodyWilliams@google.com,(369) 911-6631
Steven Chu,StevenChu@google.com,(425) 351-9367
William D. Phillips,WilliamD.Phillips@google.com,(599) 487-0714
Stanley B. Prusiner,StanleyB.Prusiner@google.com,(247) 769-8747
Richard E. Smalley,RichardE.Smalley@google.com,(368) 238-1084
Robert F. Curl Jr.,RobertF.CurlJr.@google.com,(548) 766-0800
William Vickrey,WilliamVickrey@google.com,(832) 649-9747
David M. Lee,DavidM.Lee@google.com,(613) 230-7147
Douglas D. Osheroff,DouglasD.Osheroff@google.com,(611) 726-4701
Robert C. Richardson,RobertC.Richardson@google.com,(397) 721-5931
Mario J. Molina,MarioJ.Molina@google.com,(962) 809-2028
F. Sherwood Rowland,F.SherwoodRowland@google.com,(996) 379-4481
Robert Lucas,RobertLucas@google.com,(651) 241-3356
Martin L. Perl,MartinL.Perl@google.com,(917) 212-8645
Frederick Reines,FrederickReines@google.com,(928) 607-1295
Edward B. Lewis,EdwardB.Lewis@google.com,(542) 818-3967
Eric F. Wieschaus,EricF.Wieschaus@google.com,(770) 219-9164
George Andrew Olah,GeorgeAndrewOlah@google.com,(502) 561-3988
John Harsanyi,JohnHarsanyi@google.com,(228) 414-4888
John Forbes Nash,JohnForbesNash@google.com,(416) 279-6094
Clifford G. Shull,CliffordG.Shull@google.com,(866) 524-4461
Alfred G. Gilman,AlfredG.Gilman@google.com,(419) 774-6057
Martin Rodbell,MartinRodbell@google.com,(243) 288-8985
Kary B. Mullis,KaryB.Mullis@google.com,(964) 816-4515
Robert W. Fogel,RobertW.Fogel@google.com,(762) 258-8821
Douglass C. North,DouglassC.North@google.com,(506) 387-6982
Toni Morrison,ToniMorrison@google.com,(334) 216-2486
Russell A. Hulse,RussellA.Hulse@google.com,(389) 424-9162
Joseph H. Taylor Jr.,JosephH.TaylorJr.@google.com,(382) 566-9617
Phillip A. Sharp,PhillipA.Sharp@google.com,(549) 520-7266
Rudolph A. Marcus,RudolphA.Marcus@google.com,(457) 729-0731
Gary S. Becker,GaryS.Becker@google.com,(496) 995-7819
Edmond H. Fischer,EdmondH.Fischer@google.com,(395) 836-7549
Edwin G. Krebs,EdwinG.Krebs@google.com,(541) 713-0951
Ronald Coase,RonaldCoase@google.com,(265) 763-4476
Elias James Corey,EliasJamesCorey@google.com,(956) 417-2874
Merton H. Miller,MertonH.Miller@google.com,(297) 551-9465
William F. Sharpe,WilliamF.Sharpe@google.com,(272) 228-2031
Harry M. Markowitz,HarryM.Markowitz@google.com,(925) 868-4451
Jerome I. Friedman,JeromeI.Friedman@google.com,(763) 276-0769
Henry W. Kendall,HenryW.Kendall@google.com,(745) 817-3961
Joseph E. Murray,JosephE.Murray@google.com,(266) 753-2667
E. Donnall Thomas,E.DonnallThomas@google.com,(911) 537-5567
Sidney Altman,SidneyAltman@google.com,(737) 409-0889
Thomas R. Cech,ThomasR.Cech@google.com,(524) 299-5127
Hans G. Dehmelt,HansG.Dehmelt@google.com,(797) 877-6682
Norman F. Ramsey,NormanF.Ramsey@google.com,(971) 365-4548
J. Michael Bishop,J.MichaelBishop@google.com,(473) 328-7384
Harold E. Varmus,HaroldE.Varmus@google.com,(958) 212-6037
Leon M. Lederman,LeonM.Lederman@google.com,(731) 904-8533
Melvin Schwartz,MelvinSchwartz@google.com,(445) 202-4949
Jack Steinberger,JackSteinberger@google.com,(455) 977-8291
Gertrude B. Elion,GertrudeB.Elion@google.com,(773) 488-6795
George H. Hitchings,GeorgeH.Hitchings@google.com,(615) 928-0738
Charles J. Pedersen,CharlesJ.Pedersen@google.com,(245) 649-8235
Donald J. Cram,DonaldJ.Cram@google.com,(316) 822-1545
Robert M. Solow,RobertM.Solow@google.com,(415) 832-8155
Joseph Brodsky,JosephBrodsky@google.com,(630) 729-7506
Dudley R. Herschbach,DudleyR.Herschbach@google.com,(521) 637-1096
Yuan T. Lee,YuanT.Lee@google.com,(751) 554-9045
James M. Buchanan,JamesM.Buchanan@google.com,(479) 728-7979
Elie Wiesel,ElieWiesel@google.com,(861) 532-7814
Stanley Cohen,StanleyCohen@google.com,(254) 208-5096
Rita Levi-Montalcini,RitaLevi-Montalcini@google.com,(707) 321-8989
Jerome Karle,JeromeKarle@google.com,(301) 903-7472
Herbert A. Hauptman,HerbertA.Hauptman@google.com,(913) 259-2845
Franco Modigliani,FrancoModigliani@google.com,(689) 748-6119
Michael S. Brown,MichaelS.Brown@google.com,(500) 994-3075
Joseph L. Goldstein,JosephL.Goldstein@google.com,(786) 430-9269
Bruce Merrifield,BruceMerrifield@google.com,(723) 894-1645
Henry Taube,HenryTaube@google.com,(323) 710-5534
Gérard Debreu,GérardDebreu@google.com,(734) 365-0047
William A. Fowler,WilliamA.Fowler@google.com,(954) 237-7961
Subrahmanyan Chandrasekhar,SubrahmanyanChandrasekhar@google.com,(369) 575-2969
Barbara McClintock,BarbaraMcClintock@google.com,(626) 489-1356
George J. Stigler,GeorgeJ.Stigler@google.com,(650) 565-8114
Kenneth G. Wilson,KennethG.Wilson@google.com,(623) 327-8995
Roald Hoffmann,RoaldHoffmann@google.com,(444) 367-0867
James Tobin,JamesTobin@google.com,(528) 536-7650
Nicolaas Bloembergen,NicolaasBloembergen@google.com,(817) 976-6149
Arthur L. Schawlow,ArthurL.Schawlow@google.com,(607) 735-8816
David H. Hubel,DavidH.Hubel@google.com,(964) 594-5767
Roger W. Sperry,RogerW.Sperry@google.com,(948) 502-7639
Walter Gilbert,WalterGilbert@google.com,(236) 512-3156
Paul Berg,PaulBerg@google.com,(979) 682-9133
Lawrence R. Klein,LawrenceR.Klein@google.com,(968) 933-2147
Czesław Miłosz*,CzesławMiłosz*@google.com,(931) 975-0836
James Cronin,JamesCronin@google.com,(452) 253-0412
Val Fitch,ValFitch@google.com,(888) 563-4281
Baruj Benacerraf,BarujBenacerraf@google.com,(823) 819-2478
George D. Snell,GeorgeD.Snell@google.com,(874) 222-2446
Herbert C. Brown,HerbertC.Brown@google.com,(547) 429-0257
Theodore Schultz,TheodoreSchultz@google.com,(925) 284-5266
Steven Weinberg,StevenWeinberg@google.com,(259) 532-2457
Sheldon Glashow,SheldonGlashow@google.com,(297) 878-6177
Allan M. Cormack,AllanM.Cormack@google.com,(544) 362-0063
Herbert A. Simon,HerbertA.Simon@google.com,(323) 350-0538
Isaac Bashevis Singer,IsaacBashevisSinger@google.com,(691) 454-2043
Robert Woodrow Wilson,RobertWoodrowWilson@google.com,(970) 364-9730
Arno Penzias,ArnoPenzias@google.com,(207) 752-9165
Hamilton O. Smith,HamiltonO.Smith@google.com,(890) 727-5916
Daniel Nathans,DanielNathans@google.com,(338) 496-3537
Philip Anderson,PhilipAnderson@google.com,(376) 493-6387
John H. van Vleck,JohnH.vanVleck@google.com,(362) 919-3811
Roger Guillemin,RogerGuillemin@google.com,(349) 232-6135
Andrew Schally,AndrewSchally@google.com,(939) 388-8504
Rosalyn Yalow,RosalynYalow@google.com,(829) 791-1060
William Lipscomb,WilliamLipscomb@google.com,(383) 271-4016
Milton Friedman,MiltonFriedman@google.com,(393) 294-8032
Saul Bellow,SaulBellow@google.com,(263) 768-5917
Burton Richter,BurtonRichter@google.com,(272) 281-1849
Samuel C. C. Ting,SamuelC.C.Ting@google.com,(395) 910-2965
Baruch S. Blumberg,BaruchS.Blumberg@google.com,(298) 538-6568
Daniel Carleton Gajdusek,DanielCarletonGajdusek@google.com,(799) 949-6423
Tjalling C. Koopmans,TjallingC.Koopmans@google.com,(946) 804-3248
Ben Roy Mottelson*,BenRoyMottelson*@google.com,(342) 394-5335
James Rainwater,JamesRainwater@google.com,(776) 737-0106
David Baltimore,DavidBaltimore@google.com,(515) 258-6283
Renato Dulbecco,RenatoDulbecco@google.com,(273) 285-5835
Howard Martin Temin,HowardMartinTemin@google.com,(654) 673-6025
Paul J. Flory,PaulJ.Flory@google.com,(494) 690-7618
George E. Palade,GeorgeE.Palade@google.com,(722) 511-6648
Wassily Leontief,WassilyLeontief@google.com,(309) 297-1592
Henry Kissinger,HenryKissinger@google.com,(508) 803-6936
Ivar Giaever,IvarGiaever@google.com,(299) 628-6160
Christian Anfinsen,ChristianAnfinsen@google.com,(431) 638-8830
Stanford Moore,StanfordMoore@google.com,(740) 428-1180
William H. Stein,WilliamH.Stein@google.com,(573) 405-7251
Kenneth J. Arrow,KennethJ.Arrow@google.com,(409) 962-7740
John Bardeen,JohnBardeen@google.com,(898) 962-1425
Leon N. Cooper,LeonN.Cooper@google.com,(733) 461-3696
Robert Schrieffer,RobertSchrieffer@google.com,(544) 548-1553
Gerald Edelman,GeraldEdelman@google.com,(542) 416-1767
Simon Kuznets,SimonKuznets@google.com,(459) 352-8686
Earl W. Sutherland Jr.,EarlW.SutherlandJr.@google.com,(572) 724-0343
Paul A. Samuelson,PaulA.Samuelson@google.com,(558) 798-5237
Norman Borlaug,NormanBorlaug@google.com,(856) 724-5415
Julius Axelrod,JuliusAxelrod@google.com,(679) 539-7211
Murray Gell-Mann,MurrayGell-Mann@google.com,(404) 768-7225
Max Delbrück,MaxDelbrück@google.com,(897) 862-2824
Alfred Hershey,AlfredHershey@google.com,(528) 205-6290
Salvador Luria,SalvadorLuria@google.com,(235) 483-6655
Lars Onsager,LarsOnsager@google.com,(558) 281-6295
Luis Alvarez,LuisAlvarez@google.com,(561) 787-1346
Robert W. Holley,RobertW.Holley@google.com,(275) 805-4501
Har Gobind Khorana,HarGobindKhorana@google.com,(552) 330-7353
Marshall Warren Nirenberg,MarshallWarrenNirenberg@google.com,(230) 847-7704
Hans Bethe,HansBethe@google.com,(324) 933-3210
Haldan Keffer Hartline,HaldanKefferHartline@google.com,(497) 966-2675
George Wald,GeorgeWald@google.com,(513) 767-5529
Robert S. Mulliken,RobertS.Mulliken@google.com,(285) 629-5282
Charles B. Huggins,CharlesB.Huggins@google.com,(807) 898-7351
Francis Peyton Rous,FrancisPeytonRous@google.com,(604) 307-5733
Robert B. Woodward,RobertB.Woodward@google.com,(847) 541-0487
Richard P. Feynman,RichardP.Feynman@google.com,(710) 509-3113
Julian Schwinger,JulianSchwinger@google.com,(771) 203-6775
Martin Luther King,MartinLutherKing@google.com,(503) 691-2568
Charles H. Townes,CharlesH.Townes@google.com,(302) 647-9836
Konrad Bloch,KonradBloch@google.com,(393) 821-0296
Maria Goeppert-Mayer,MariaGoeppert-Mayer@google.com,(224) 818-6919
Eugene Wigner,EugeneWigner@google.com,(789) 607-2894
John Steinbeck,JohnSteinbeck@google.com,(376) 388-0965
Linus C. Pauling,LinusC.Pauling@google.com,(553) 720-5035
James D. Watson,JamesD.Watson@google.com,(205) 242-2247
Melvin Calvin,MelvinCalvin@google.com,(738) 921-4532
Robert Hofstadter,RobertHofstadter@google.com,(262) 683-1134
Georg von Békésy,GeorgvonBékésy@google.com,(502) 957-2121
Willard F. Libby,WillardF.Libby@google.com,(489) 425-3101
Donald A. Glaser,DonaldA.Glaser@google.com,(591) 312-7442
Owen Chamberlain,OwenChamberlain@google.com,(375) 410-3374
Emilio Segrè,EmilioSegrè@google.com,(931) 331-8295
Arthur Kornberg,ArthurKornberg@google.com,(238) 252-0142
Severo Ochoa,SeveroOchoa@google.com,(769) 645-5030
George Beadle,GeorgeBeadle@google.com,(716) 273-9411
Joshua Lederberg,JoshuaLederberg@google.com,(385) 636-5167
Edward Tatum,EdwardTatum@google.com,(981) 872-1012
Chen Ning Yang,ChenNingYang@google.com,(216) 309-2308
Tsung-Dao Lee,Tsung-DaoLee@google.com,(540) 217-9829
William B. Shockley,WilliamB.Shockley@google.com,(300) 478-5050
John Bardeen,JohnBardeen@google.com,(778) 267-1981
Walter H. Brattain,WalterH.Brattain@google.com,(933) 224-5499
Dickinson W. Richards,DickinsonW.Richards@google.com,(289) 514-4091
André F. Cournand,AndréF.Cournand@google.com,(742) 697-7006
Vincent du Vigneaud,VincentduVigneaud@google.com,(426) 654-6459
Willis E. Lamb,WillisE.Lamb@google.com,(766) 366-1527
Polykarp Kusch,PolykarpKusch@google.com,(679) 831-9656
Linus C. Pauling,LinusC.Pauling@google.com,(491) 776-0839
Ernest Hemingway,ErnestHemingway@google.com,(507) 871-1997
John F. Enders,JohnF.Enders@google.com,(332) 731-7339
Frederick C. Robbins,FrederickC.Robbins@google.com,(734) 318-3518
Thomas H. Weller,ThomasH.Weller@google.com,(795) 609-0430
George C. Marshall,GeorgeC.Marshall@google.com,(673) 515-9917
Fritz Albert Lipmann,FritzAlbertLipmann@google.com,(773) 894-8683
E. M. Purcell,E.M.Purcell@google.com,(350) 498-0915
Felix Bloch,FelixBloch@google.com,(489) 715-5509
Selman A. Waksman,SelmanA.Waksman@google.com,(545) 353-7504
Edwin M. McMillan,EdwinM.McMillan@google.com,(768) 421-4092
Glenn Theodore Seaborg,GlennTheodoreSeaborg@google.com,(916) 545-8348
Ralph J. Bunche,RalphJ.Bunche@google.com,(523) 586-0211
Philip S. Hench,PhilipS.Hench@google.com,(507) 456-5687
Edward C. Kendall,EdwardC.Kendall@google.com,(518) 289-7103
William Giauque,WilliamGiauque@google.com,(824) 551-9640
William Faulkner,WilliamFaulkner@google.com,(325) 814-2111
T. S. Eliot*,T.S.Eliot*@google.com,(514) 635-7285
American Friends Service Committee (The Quakers),AmericanFriendsServiceCommittee(TheQuakers)@google.com,(693) 818-1545
Carl Ferdinand Cori,CarlFerdinandCori@google.com,(367) 661-9524
Gerty Cori,GertyCori@google.com,(469) 546-9170
Wendell M. Stanley,WendellM.Stanley@google.com,(777) 646-5404
James B. Sumner,JamesB.Sumner@google.com,(707) 465-4552
John H. Northrop,JohnH.Northrop@google.com,(758) 743-0582
Emily G. Balch,EmilyG.Balch@google.com,(353) 371-7856
John R. Mott,JohnR.Mott@google.com,(995) 680-5814
Percy W. Bridgman,PercyW.Bridgman@google.com,(452) 232-2944
Hermann J. Muller,HermannJ.Muller@google.com,(711) 211-0562
Cordell Hull,CordellHull@google.com,(771) 621-8465
Isidor Isaac Rabi,IsidorIsaacRabi@google.com,(376) 922-8721
Joseph Erlanger,JosephErlanger@google.com,(357) 493-5326
Herbert S. Gasser,HerbertS.Gasser@google.com,(983) 291-1325
Otto Stern,OttoStern@google.com,(820) 655-3680
Edward A. Doisy,EdwardA.Doisy@google.com,(440) 899-6254
Ernest Lawrence,ErnestLawrence@google.com,(245) 989-3553
Pearl S. Buck,PearlS.Buck@google.com,(649) 256-3121
Clinton Davisson,ClintonDavisson@google.com,(287) 972-2544
Eugene O'Neill,EugeneO'Neill@google.com,(538) 538-9809
Carl Anderson,CarlAnderson@google.com,(347) 613-6095
Harold C. Urey,HaroldC.Urey@google.com,(679) 486-2915
George R. Minot,GeorgeR.Minot@google.com,(644) 947-2438
William P. Murphy,WilliamP.Murphy@google.com,(422) 721-2607
George H. Whipple,GeorgeH.Whipple@google.com,(899) 779-7324
Thomas H. Morgan,ThomasH.Morgan@google.com,(833) 915-2353
Irving Langmuir,IrvingLangmuir@google.com,(505) 925-5772
Jane Addams,JaneAddams@google.com,(300) 208-2218
Nicholas M. Butler,NicholasM.Butler@google.com,(608) 342-1040
Sinclair Lewis,SinclairLewis@google.com,(301) 307-7092
Frank B. Kellogg,FrankB.Kellogg@google.com,(848) 288-8922
Arthur H. Compton,ArthurH.Compton@google.com,(943) 574-2829
Charles G. Dawes,CharlesG.Dawes@google.com,(689) 205-4848
Robert A. Millikan,RobertA.Millikan@google.com,(769) 509-4272
Woodrow Wilson,WoodrowWilson@google.com,(279) 571-0791
Theodore W. Richards,TheodoreW.Richards@google.com,(849) 689-8375
Elihu Root,ElihuRoot@google.com,(838) 369-3392
Albert A. Michelson,AlbertA.Michelson@google.com,(538) 791-3597
Theodore Roosevelt,TheodoreRoosevelt@google.com,(219) 403-3604
